sample_id	cell_type	file_path
GSM5652316_Blood-B-Z000000TX	B-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/B-cells_GSM5652316_Blood-B-Z000000TX.hg38.pat.gz
GSM5652317_Blood-B-Z000000UB	B-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/B-cells_GSM5652317_Blood-B-Z000000UB.hg38.pat.gz
GSM5652318_Blood-B-Z000000UR	B-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/B-cells_GSM5652318_Blood-B-Z000000UR.hg38.pat.gz
GSM5652319_Blood-B-Mem-Z0000041J	B-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652319_Blood-B-Mem-Z0000041J.hg38.pat.gz
GSM5652320_Blood-B-Mem-Z0000041K	B-cells	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652320_Blood-B-Mem-Z0000041K.hg38.pat.gz
GSM5652274_Erythrocyte-Z000000RF	CD34-erythroblasts	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/CD34-erythroblasts_GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF.hg38.pat.gz
GSM5652275_Erythrocyte-Z000000RH	CD34-erythroblasts	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/CD34-erythroblasts_GSM5652275_Bone_marrow-Erythrocyte_progenitors-Z000000RH.hg38.pat.gz
GSM5652276_Erythrocyte-Z000000RK	CD34-erythroblasts	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/CD34-erythroblasts_GSM5652276_Bone_marrow-Erythrocyte_progenitors-Z000000RK.hg38.pat.gz
CD34-megakaryocytes_D30	CD34-megakaryocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/CD34-megakaryocytes_D30_CD34-megakaryocytes_md.pat.gz
CD34-megakaryocytes_D66	CD34-megakaryocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/CD34-megakaryocytes_D66_CD34-megakaryocytes_md.pat.gz
GSM5652370_Colon-Right-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.pat.gz
GSM5652371_Colon-Right-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652371_Colon-Right-Epithelial-Z000000V8.hg38.pat.gz
GSM5652372_Colon-Right-Endocrine	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652372_Colon-Right-Endocrine-Z0000044S.hg38.pat.gz
GSM5652373_Colon-Left-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652373_Colon-Left-Epithelial-Z000000VA.hg38.pat.gz
GSM5652374_Colon-Left-Endocrine	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652374_Colon-Left-Endocrine-Z0000044J.hg38.pat.gz
GSM5652375_Colon-Left-Endocrine	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652375_Colon-Left-Endocrine-Z0000044T.hg38.pat.gz
GSM5652376_Colon-Left-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652376_Colon-Left-Epithelial-Z0000043B.hg38.pat.gz
GSM5652377_Colon-Left-Epithelial	Colon	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652377_Colon-Left-Epithelial-Z0000043C.hg38.pat.gz
GSM5652332_Esophagus-Z000000PZ	Esophagus	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652332_Esophagus-Epithelial-Z000000PZ.hg38.pat.gz
GSM5652333_Esophagus-Z00000426	Esophagus	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652333_Esophagus-Epithelial-Z00000426.hg38.pat.gz
GSM5652359_Gastric-fundus-Epithelial	Gastric	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652359_Gastric-fundus-Epithelial-Z000000RX.hg38.pat.gz
