sample_id	cell_type	file_path
GSM5652274_Erythrocyte-Z000000RF	Erythrocyte_progenitors	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/CD34-erythroblasts_GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF.hg38.pat.gz
GSM5652275_Erythrocyte-Z000000RH	Erythrocyte_progenitors	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/CD34-erythroblasts_GSM5652275_Bone_marrow-Erythrocyte_progenitors-Z000000RH.hg38.pat.gz
GSM5652276_Erythrocyte-Z000000RK	Erythrocyte_progenitors	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/CD34-erythroblasts_GSM5652276_Bone_marrow-Erythrocyte_progenitors-Z000000RK.hg38.pat.gz
GSM5652279_CD4-Z000000TT	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652279_Blood-T-CD4-Z000000TT.hg38.pat.gz
GSM5652280_CD4-Z000000U7	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652280_Blood-T-CD4-Z000000U7.hg38.pat.gz
GSM5652281_CD4-Z000000UM	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652281_Blood-T-CD4-Z000000UM.hg38.pat.gz
GSM5652285_CenMem-CD4-Z00000417	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652285_Blood-T-CenMem-CD4-Z00000417.hg38.pat.gz
GSM5652286_CenMem-CD4-Z0000041D	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652286_Blood-T-CenMem-CD4-Z0000041D.hg38.pat.gz
GSM5652287_CenMem-CD4-Z0000041N	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652287_Blood-T-CenMem-CD4-Z0000041N.hg38.pat.gz
GSM5652291_EffMem-CD4-Z00000416	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652291_Blood-T-EffMem-CD4-Z00000416.hg38.pat.gz
GSM5652292_EffMem-CD4-Z0000041C	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652292_Blood-T-EffMem-CD4-Z0000041C.hg38.pat.gz
GSM5652293_EffMem-CD4-Z0000041M	T-CD4	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652293_Blood-T-EffMem-CD4-Z0000041M.hg38.pat.gz
GSM5652282_CD8-Z000000TR	T-CD8	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652282_Blood-T-CD8-Z000000TR.hg38.pat.gz
GSM5652283_CD8-Z000000U5	T-CD8	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652283_Blood-T-CD8-Z000000U5.hg38.pat.gz
GSM5652284_CD8-Z000000UK	T-CD8	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652284_Blood-T-CD8-Z000000UK.hg38.pat.gz
GSM5652288_Eff-CD8-Z00000419	T-CD8	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652288_Blood-T-Eff-CD8-Z00000419.hg38.pat.gz
GSM5652289_Eff-CD8-Z0000041F	T-CD8	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652289_Blood-T-Eff-CD8-Z0000041F.hg38.pat.gz
GSM5652290_Eff-CD8-Z0000041Q	T-CD8	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652290_Blood-T-Eff-CD8-Z0000041Q.hg38.pat.gz
GSM5652294_EffMem-CD8-Z0000041A	T-CD8	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652294_Blood-T-EffMem-CD8-Z0000041A.hg38.pat.gz
GSM5652295_EffMem-CD8-Z0000041G	T-CD8	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652295_Blood-T-EffMem-CD8-Z0000041G.hg38.pat.gz
GSM5652299_NK-Z000000TM	NK	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652299_Blood-NK-Z000000TM.hg38.pat.gz
GSM5652300_NK-Z000000U1	NK	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652300_Blood-NK-Z000000U1.hg38.pat.gz
GSM5652301_NK-Z000000UF	NK	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652301_Blood-NK-Z000000UF.hg38.pat.gz
GSM5652302_Monocytes-Z000000TP	Monocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652302_Blood-Monocytes-Z000000TP.hg38.pat.gz
GSM5652303_Monocytes-Z000000U3	Monocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652303_Blood-Monocytes-Z000000U3.hg38.pat.gz
GSM5652304_Monocytes-Z000000UH	Monocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652304_Blood-Monocytes-Z000000UH.hg38.pat.gz
GSM5652313_Granulocytes-Z000000TZ	Granulocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652313_Blood-Granulocytes-Z000000TZ.hg38.pat.gz
GSM5652314_Granulocytes-Z000000UD	Granulocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652314_Blood-Granulocytes-Z000000UD.hg38.pat.gz
GSM5652315_Granulocytes-Z000000UT	Granulocytes	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/GSM5652315_Blood-Granulocytes-Z000000UT.hg38.pat.gz
GSM5652316_Blood-B-Z000000TX	B	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/B-cells_GSM5652316_Blood-B-Z000000TX.hg38.pat.gz
GSM5652317_Blood-B-Z000000UB	B	/users/ludwig/uii408/sharedscratch/tapestry/data/pats/B-cells_GSM5652317_Blood-B-Z000000UB.hg38.pat.gz
